Selection,Team,Type,Legs,Lines,Unit stake,Cost,EV,EV%,Status
Breel Embolo,Switzerland,Single,1,1,250,250,413.75,165.5,ok
Cyle Larin,Canada,Single,1,1,100,100,128.18,128.2,ok
Musab Al Juwayr,Saudi Arabia,Single,1,1,76,76,108.66,143,ok
Azizjon Ganiev,Uzbekistan,Single,1,1,31,31,104.67,337.6,ok
Khalid Al Ghannam,Saudi Arabia,Single,1,1,139,139,96.63,69.5,ok
Nizar Al Rashdan,Jordan,Single,1,1,50,50,72.21,144.4,ok
Hakan Calhanoglu,Turkey,Single,1,1,250,250,69.53,27.8,ok
Abdukodir Khusanov,Uzbekistan,Single,1,1,38,38,65.86,173.3,ok
Ehsan Haddad,Jordan,Single,1,1,20,20,59.15,295.8,ok
Yazan Al Arab,Jordan,Single,1,1,20,20,56.38,281.9,ok
Raúl Jiménez,Mexico,Single,1,1,250,250,51.88,20.8,ok
Mahmoud Al-Mardi,Jordan,Single,1,1,179,179,50.54,28.2,ok
Oston Urunov,Uzbekistan,Single,1,1,250,250,48.35,19.3,ok
Mohannad Abu Taha,Jordan,Single,1,1,125,125,46.6,37.3,ok
Amadou Onana,Belgium,Single,1,1,31,31,45.5,146.8,ok
Aria Yousefi,Iran,Single,1,1,63,63,34.27,54.4,ok
Raúl Jiménez,Mexico,Single,1,1,250,250,30.32,12.1,ok
Damian Bobadilla,Paraguay,Single,1,1,76,76,27.75,36.5,ok
Wilfried Singo,Ivory Coast,Single,1,1,20,20,25.03,125.2,ok
Krepin Diatta,Senegal,Single,1,1,50,50,24.53,49.1,ok
Rafik Belghali,Algeria,Single,1,1,76,76,21.01,27.6,ok
Husam Abu Dahab,Jordan,Single,1,1,20,20,18.46,92.3,ok
Jose Maria Gimenez,Uruguay,Single,1,1,31,31,16.34,52.7,ok
Kerem Akturkoglu,Turkey,Single,1,1,250,250,16,6.4,ok
Theo Hernandez,France,Single,1,1,10,10,15.69,156.9,ok
Abdallah Nasib,Jordan,Single,1,1,25,25,14.62,58.5,ok
Mohammad Abualnadi,Jordan,Single,1,1,25,25,14.23,56.9,ok
Guela Doue,Ivory Coast,Single,1,1,20,20,13.41,67,ok
Kamogelo Sebelebele,South Africa,Single,1,1,25,25,10.25,41,ok
Shoja Khalilzadeh,Iran,Single,1,1,25,25,8.9,35.6,ok
Saleem Obaid,Jordan,Single,1,1,31,31,7.55,24.4,ok
Mohammed Kanno,Saudi Arabia,Single,1,1,63,63,7.38,11.7,ok
