Selection,Team,Type,Legs,Lines,Unit stake,Cost,EV,EV%,Status
Folarin Balogun,United States,Single,1,1,492.35,492.35,1575.69,320,ok
Livano Comenencia,Curacao,Single,1,1,29.93,29.93,1231.6,4114.9,ok
Julian Quinones,Mexico,Single,1,1,282.04,282.04,961.49,340.9,ok
In Beom Hwang,South Korea,Single,1,1,49.2,49.2,677.23,1376.5,ok
Giorgian De Arrascaeta,Uruguay,Single,1,1,122.63,122.63,145.45,118.6,ok
Riyad Mahrez,Algeria,Single,1,1,439.52,439.52,117.59,26.8,ok
Eldor Shomurodov,Uzbekistan,Single,1,1,655.92,655.92,117.15,17.9,ok
Ali Al-Hamadi,Iraq,Single,1,1,328.6,328.6,113.52,34.5,ok
Musab AL Juwayr,Saudi Arabia,Single,1,1,49.31,49.31,95.02,192.7,ok
Khalid AL Ghannam,Saudi Arabia,Single,1,1,89.65,89.65,94.14,105,ok
Azizjon Ganiev,Uzbekistan,Single,1,1,24.59,24.59,83.17,338.2,ok
Salem Al Dawsari,Saudi Arabia,Single,1,1,281.76,281.76,78.82,28,ok
Jose Luis Rodriguez,Panama,Single,1,1,98.46,98.46,75.61,76.8,ok
Mohammad Taha,Jordan,Single,1,1,59.56,59.56,73.14,122.8,ok
James Rodriguez,Colombia,Single,1,1,245.47,245.47,63.93,26,ok
John Yeboah,Ecuador,Single,1,1,197.07,197.07,60.18,30.5,ok
Nizar AL Rashdan,Jordan,Single,1,1,39.31,39.31,57,145,ok
Emam Ashour,Egypt,Single,1,1,78.91,78.91,54.69,69.3,ok
Rafik Belghali,Algeria,Single,1,1,21.97,21.97,52.8,240.3,ok
Rayan Ait Nouri,Algeria,Single,1,1,39.56,39.56,51.83,131,ok
Abduqodir Khusanov,Uzbekistan,Single,1,1,29.81,29.81,51.77,173.7,ok
Facundo Pellistri,Uruguay,Single,1,1,59.46,59.46,51.73,87,ok
Amadou Onana,Belgium,Single,1,1,13.13,13.13,47.28,360.1,ok
Ihsan Haddad,Jordan,Single,1,1,15.72,15.72,46.64,296.7,ok
Yazan AL Arab,Jordan,Single,1,1,15.72,15.72,44.46,282.8,ok
Oston Urunov,Uzbekistan,Single,1,1,218.64,218.64,42.6,19.5,ok
Erick Davis,Panama,Single,1,1,98.46,98.46,42.19,42.8,ok
Fabian Ruiz,Spain,Single,1,1,39.33,39.33,40.58,103.2,ok
Mohannad Abu Taha,Jordan,Single,1,1,98.27,98.27,36.95,37.6,ok
Davinson Sanchez,Colombia,Single,1,1,34.65,34.65,36.16,104.4,ok
Ramin Rezaeian,Iran,Single,1,1,24.71,24.71,34.5,139.6,ok
Roberto Lopes,Cape Verde,Single,1,1,19.64,19.64,33.39,170,ok
