Selection,Team,Type,Legs,Lines,Unit stake,Cost,EV,EV%,Status
Cyle Larin,Canada,Single,1,1,25000,25000,32046.05,128.2,ok
Ladislav Krejci,Czech Republic,Single,1,1,15000,15000,17656.97,117.7,ok
In-beom Hwang,South Korea,Single,1,1,15000,15000,17376.58,115.8,ok
Jovo Lukic,Bosnia & Herzegovina,Single,1,1,25000,25000,14284,57.1,ok
Azizjon Ganiev,Uzbekistan,Single,1,1,1500,1500,5064.62,337.6,ok
Petar Musa,Croatia,Single,1,1,5000,5000,4658.19,93.2,ok
Khalid Al-Ghannam,Saudi Arabia,Single,1,1,4000,4000,4208.37,105.2,ok
Musab Al-Juwayr,Saudi Arabia,Single,1,1,2000,2000,3860.05,193,ok
Jose Luis Rodriguez,Panama,Single,1,1,5000,5000,3834.33,76.7,ok
Rafik Belghali,Algeria,Single,1,1,1500,1500,3061.46,204.1,ok
Christian Pulisic,United States,Single,1,1,5500,5500,2990.4,54.4,ok
Mohannad Abu Taha,Jordan,Single,1,1,2000,2000,2706.8,135.3,ok
Rayan Ait-Nouri,Algeria,Single,1,1,2000,2000,2637.99,131.9,ok
Abdukodir Khusanov,Uzbekistan,Single,1,1,1500,1500,2538.48,169.2,ok
Nizar Al-Rashdan,Jordan,Single,1,1,1500,1500,2166.35,144.4,ok
Ramin Rezaeian,Iran,Single,1,1,1500,1500,2106.22,140.4,ok
Emam Ashour,Egypt,Single,1,1,3000,3000,2085.23,69.5,ok
Ramon Sosa,Paraguay,Single,1,1,2000,2000,2066.3,103.3,ok
Davinson Sanchez,Colombia,Single,1,1,1500,1500,1997.29,133.2,ok
Ramy Bensebaini,Algeria,Single,1,1,1500,1500,1956.75,130.4,ok
Fabian Ruiz,Spain,Single,1,1,1850,1850,1901.6,102.8,ok
Roberto Lopes,Cape Verde,Single,1,1,1000,1000,1692.31,169.2,ok
Krepin Diatta,Senegal,Single,1,1,1500,1500,1393.54,92.9,ok
Diney,Cape Verde,Single,1,1,1000,1000,1153.11,115.3,ok
Thomas Meunier,Belgium,Single,1,1,350,350,1149.95,328.6,ok
Joao Paulo,Cape Verde,Single,1,1,1500,1500,1149.46,76.6,ok
Logan Costa,Cape Verde,Single,1,1,1000,1000,1120.37,112,ok
Aria Yousefi,Iran,Single,1,1,2000,2000,1087.85,54.4,ok
