Selection,Team,Type,Legs,Lines,Unit stake,Cost,EV,EV%,Status
Livano Comenencia,Curacao,Single,1,1,100,100,4125.89,4125.9,ok
Giorgian De Arrascaeta,Uruguay,Single,1,1,2000,2000,2380.69,119,ok
Azizjon Ganiev,Uzbekistan,Single,1,1,600,600,2025.85,337.6,ok
Musab AL Juwayr,Saudi Arabia,Single,1,1,800,800,1544.02,193,ok
Rafik Belghali,Algeria,Single,1,1,500,500,1208.2,241.6,ok
Ihsan Haddad,Jordan,Single,1,1,400,400,1170.42,292.6,ok
Yazan AL Arab,Jordan,Single,1,1,400,400,1115.53,278.9,ok
Amadou Onana,Belgium,Single,1,1,300,300,1070.9,357,ok
Rayan Ait Nouri,Algeria,Single,1,1,800,800,1055.2,131.9,ok
Mohammad Taha,Jordan,Single,1,1,800,800,978.12,122.3,ok
Abduqodir Khusanov,Uzbekistan,Single,1,1,500,500,866.56,173.3,ok
Khalid AL Ghannam,Saudi Arabia,Single,1,1,800,800,841.67,105.2,ok
Roberto Lopes,Cape Verde,Single,1,1,500,500,832.83,166.6,ok
Moises Caicedo,Ecuador,Single,1,1,500,500,809.19,161.8,ok
Callum McCowatt,New Zealand,Single,1,1,2000,2000,773.75,38.7,ok
Nizar AL Rashdan,Jordan,Single,1,1,500,500,722.12,144.4,ok
Ramin Rezaeian,Iran,Single,1,1,500,500,702.07,140.4,ok
Jose Luis Rodriguez,Panama,Single,1,1,800,800,613.49,76.7,ok
John Yeboah,Ecuador,Single,1,1,2000,2000,611.2,30.6,ok
Ramy Bensebaini,Algeria,Single,1,1,500,500,581.12,116.2,ok
Edilson Diney,Cape Verde,Single,1,1,500,500,576.55,115.3,ok
Emam Ashour,Egypt,Single,1,1,800,800,556.06,69.5,ok
Davinson Sanchez,Colombia,Single,1,1,500,500,524.46,104.9,ok
Fabian Ruiz,Spain,Single,1,1,500,500,513.95,102.8,ok
Krepin Diatta,Senegal,Single,1,1,500,500,479.13,95.8,ok
Piero Hincapie,Ecuador,Single,1,1,500,500,473.23,94.6,ok
Pervis Estupinan,Ecuador,Single,1,1,250,250,467.28,186.9,ok
Christian Pulisic,United States,Single,1,1,800,800,442.23,55.3,ok
Facundo Pellistri,Uruguay,Single,1,1,500,500,431.18,86.2,ok
William Pacho,Ecuador,Single,1,1,250,250,427.79,171.1,ok
Joao Paulo Dias Fernandes,Cape Verde,Single,1,1,500,500,396.53,79.3,ok
Mahmoud Saber,Egypt,Single,1,1,500,500,346.75,69.3,ok
Yasser Ibrahim,Egypt,Single,1,1,500,500,337.12,67.4,ok
Thomas Meunier,Belgium,Single,1,1,100,100,326.85,326.9,ok
Damian Bobadilla,Paraguay,Single,1,1,800,800,292.08,36.5,ok
Julio Cesar Enciso,Paraguay,Single,1,1,2000,2000,281.71,14.1,ok
Aria Yousefi,Iran,Single,1,1,500,500,271.96,54.4,ok
Brandon Mechele,Belgium,Single,1,1,100,100,262.55,262.6,ok
Nayef Aguerd,Morocco,Single,1,1,325,325,240.12,73.9,ok
Riyad Mahrez,Algeria,Single,1,1,800,800,217.19,27.1,ok
Joel Ordonez,Ecuador,Single,1,1,250,250,199.45,79.8,ok
Kamogelo Sebelebele,South Africa,Single,1,1,500,500,197.93,39.6,ok
Felix Torres,Ecuador,Single,1,1,100,100,180.37,180.4,ok
Saud Abdulhamid,Saudi Arabia,Single,1,1,500,500,119.81,24,ok
Sherel Floranus,Curacao,Single,1,1,500,500,109.47,21.9,ok
Husam Abudahab,Jordan,Single,1,1,100,100,90.77,90.8,ok
Jurien Gaari,Curacao,Single,1,1,500,500,90.37,18.1,ok
Nando Pijnaker,New Zealand,Single,1,1,100,100,82.3,82.3,ok
Callan Elliot,New Zealand,Single,1,1,100,100,76.32,76.3,ok
Zaid Ismail,Iraq,Single,1,1,100,100,76.26,76.3,ok
Tommy Smith,New Zealand,Single,1,1,100,100,72.54,72.5,ok
Willy Semedo,Cape Verde,Single,1,1,800,800,72.12,9,ok
Jose Maria Gimenez,Uruguay,Single,1,1,100,100,71.56,71.6,ok
Mustafa Saadoon,Iraq,Single,1,1,100,100,70.45,70.5,ok
Danial Eiri,Iran,Single,1,1,100,100,68.05,68,ok
Gabriel Magalhaes,Brazil,Single,1,1,100,100,65.52,65.5,ok
Frans Putros,Iraq,Single,1,1,100,100,65.28,65.3,ok
Mohammad Abu AL Nadi,Jordan,Single,1,1,100,100,61.56,61.6,ok
Abdallah Naseeb,Jordan,Single,1,1,100,100,56.93,56.9,ok
Aissa Mandi,Algeria,Single,1,1,100,100,56.17,56.2,ok
Nicolas Tagliafico,Argentina,Single,1,1,100,100,54.64,54.6,ok
Mohamed Abdelmonem,Egypt,Single,1,1,100,100,51.93,51.9,ok
Karim Hafez,Egypt,Single,1,1,100,100,50.63,50.6,ok
